date,time,open,high,low,close,tickVolume
2014.04.01,18:00,1.46835,1.46953,1.4682,1.46953,2896
2014.04.01,19:00,1.46958,1.46992,1.46895,1.46925,1898
2014.04.01,20:00,1.46925,1.46958,1.46877,1.46885,1655
2014.04.01,21:00,1.46888,1.46923,1.46878,1.4691,1064
2014.04.01,22:00,1.46908,1.46932,1.4688,1.46899,1180
2014.04.01,23:00,1.46904,1.46941,1.46872,1.46931,536
2014.04.02,00:00,1.4693,1.46948,1.46882,1.46896,958
2014.04.02,01:00,1.469,1.46933,1.46862,1.46895,1693
2014.04.02,02:00,1.4689,1.4692,1.46868,1.46898,1628
2014.04.02,03:00,1.46903,1.46923,1.46817,1.46823,2329
2014.04.02,04:00,1.46822,1.46855,1.46808,1.46828,1262
2014.04.02,05:00,1.46827,1.4686,1.46769,1.46776,1268
2014.04.02,06:00,1.46776,1.46803,1.4675,1.46793,1063
2014.04.02,07:00,1.46793,1.46823,1.46732,1.46806,1083
2014.04.02,08:00,1.46806,1.46838,1.4666,1.46833,2693
2014.04.02,09:00,1.46833,1.47115,1.46823,1.4705,3685
2014.04.02,10:00,1.47046,1.47276,1.47028,1.47219,5528
2014.04.02,11:00,1.47216,1.4724,1.47095,1.47143,3159
2014.04.02,12:00,1.47143,1.47228,1.47091,1.47145,3560
2014.04.02,13:00,1.47145,1.47225,1.47087,1.47208,3025
2014.04.02,14:00,1.47208,1.47365,1.47128,1.47163,6189
2014.04.02,15:00,1.47168,1.47361,1.4711,1.47258,5347
2014.04.02,16:00,1.47256,1.47452,1.47229,1.4739,5010
2014.04.02,17:00,1.47389,1.47545,1.47354,1.47533,4411
2014.04.02,18:00,1.4753,1.47562,1.47471,1.47505,2494
2014.04.02,19:00,1.47506,1.4753,1.47436,1.47493,1831
2014.04.02,20:00,1.47492,1.4754,1.47393,1.47421,1914
2014.04.02,21:00,1.47421,1.47469,1.4739,1.4743,1793
2014.04.02,22:00,1.47429,1.47438,1.47376,1.47393,1142
2014.04.02,23:00,1.47398,1.47413,1.47366,1.47403,656
2014.04.03,00:00,1.47403,1.47413,1.47359,1.47391,1093
2014.04.03,01:00,1.47391,1.47403,1.47357,1.47399,691
2014.04.03,02:00,1.47397,1.47609,1.47386,1.47563,2099
2014.04.03,03:00,1.47568,1.47689,1.47561,1.47668,2879
2014.04.03,04:00,1.47668,1.47782,1.47667,1.47708,1505
2014.04.03,05:00,1.47708,1.47738,1.4749,1.47594,1779
2014.04.03,06:00,1.47595,1.47618,1.47565,1.47572,1531
2014.04.03,07:00,1.47572,1.47625,1.47536,1.47613,1268
2014.04.03,08:00,1.47613,1.47668,1.47531,1.47551,2566
2014.04.03,09:00,1.4755,1.47718,1.47547,1.47623,4509
2014.04.03,10:00,1.47623,1.47638,1.47298,1.47379,5620
2014.04.03,11:00,1.47376,1.47398,1.47236,1.47348,3170
2014.04.03,12:00,1.47349,1.47362,1.47058,1.47149,3645
2014.04.03,13:00,1.47147,1.47379,1.47095,1.47193,6602
2014.04.03,14:00,1.47193,1.47257,1.46828,1.47137,12010
2014.04.03,15:00,1.47138,1.47849,1.47112,1.47785,9038
2014.04.03,16:00,1.47785,1.47968,1.47733,1.47869,8147
2014.04.03,17:00,1.47872,1.47973,1.47848,1.47928,3664
2014.04.03,18:00,1.47928,1.48005,1.47849,1.47863,2332
2014.04.03,19:00,1.47867,1.47923,1.47825,1.47833,1805
2014.04.03,20:00,1.47832,1.47908,1.47832,1.47857,1789
2014.04.03,21:00,1.47863,1.47912,1.47856,1.47874,1647
2014.04.03,22:00,1.47876,1.47906,1.47841,1.47863,1408
2014.04.03,23:00,1.47854,1.47907,1.47837,1.47873,906
2014.04.04,00:00,1.47873,1.47913,1.47833,1.47859,852
